,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,Chg,StockPrice,T,ImpliedVolatility (caluclated),Difference
3167,2/17/17,6/16/17,900,AMZN,Call,23.6,0.22961,0.15,845.070007,0.325804244,0.228994795,0.000615205
3169,2/17/17,6/16/17,770,AMZN,Put,16.7,0.2485,-0.04,845.070007,0.325804244,0.244850488,0.003649512
3170,2/17/17,6/16/17,780,AMZN,Put,19.39,0.24799,-0.45,845.070007,0.325804244,0.243693928,0.004296072
3173,2/17/17,6/16/17,810,AMZN,Put,28.41,0.22663,-0.74,845.070007,0.325804244,0.235190423,-0.008560423
3177,2/17/17,6/16/17,850,AMZN,Put,46.29,0.22312,0.05,845.070007,0.325804244,0.230901957,-0.007781957
3178,2/17/17,6/16/17,860,AMZN,Put,50.95,0.22428,-0.83,845.070007,0.325804244,0.226239003,-0.001959003
3179,2/17/17,6/16/17,870,AMZN,Put,58.3,0.22873,,845.070007,0.325804244,0.233804723,-0.005074723
3206,2/17/17,7/21/17,920,AMZN,Call,21.35,0.22211,,845.070007,0.421629021,0.217164295,0.004945705
3207,2/17/17,7/21/17,765,AMZN,Put,26.9,0.28025,,845.070007,0.421629021,0.28364361,-0.00339361
3208,2/17/17,7/21/17,770,AMZN,Put,20.95,0.24997,-0.3,845.070007,0.421629021,0.240934274,0.009035726
3209,2/17/17,7/21/17,775,AMZN,Put,22.25,0.24661,,845.070007,0.421629021,0.239676751,0.006933249
3211,2/17/17,7/21/17,785,AMZN,Put,26.74,0.24223,,845.070007,0.421629021,0.246275281,-0.004045281
3215,2/17/17,7/21/17,805,AMZN,Put,32.3,0.22859,,845.070007,0.421629021,0.236610396,-0.008020396
3218,2/17/17,7/21/17,820,AMZN,Put,37,0.22263,,845.070007,0.421629021,0.22879689,-0.00616689
3219,2/17/17,7/21/17,825,AMZN,Put,39.3,0.22263,-0.35,845.070007,0.421629021,0.22902198,-0.00639198
3220,2/17/17,7/21/17,830,AMZN,Put,40.9,0.22312,-0.85,845.070007,0.421629021,0.225596775,-0.002476775
3221,2/17/17,7/21/17,835,AMZN,Put,43.15,0.22904,-1.93,845.070007,0.421629021,0.224863394,0.004176606
3224,2/17/17,7/21/17,850,AMZN,Put,51.24,0.22904,-0.36,845.070007,0.421629021,0.226607475,0.002432525
3257,2/17/17,12/15/17,910,AMZN,Call,54.5,0.24997,,845.070007,0.824093087,0.257569569,-0.007599569
3258,2/17/17,12/15/17,920,AMZN,Call,52.9,0.25388,1.9,845.070007,0.824093087,0.26322763,-0.00934763
3264,2/17/17,12/15/17,790,AMZN,Put,51.32,0.26577,,845.070007,0.824093087,0.261274977,0.004495023
3265,2/17/17,12/15/17,795,AMZN,Put,54.35,0.25783,,845.070007,0.824093087,0.264364866,-0.006534866
3266,2/17/17,12/15/17,800,AMZN,Put,55.31,0.26678,-0.43,845.070007,0.824093087,0.259978211,0.006801789
3267,2/17/17,12/15/17,805,AMZN,Put,58.6,0.27267,0.2,845.070007,0.824093087,0.263562193,0.009107807
3269,2/17/17,12/15/17,815,AMZN,Put,62.62,0.25578,-0.13,845.070007,0.824093087,0.261304869,-0.005524869
3275,2/17/17,12/15/17,845,AMZN,Put,75.88,0.25621,0.18,845.070007,0.824093087,0.254783383,0.001426617
3303,2/17/17,1/19/18,910,AMZN,Call,58.19,0.24997,,845.070007,0.919917864,0.254903129,-0.004933129
3310,2/17/17,1/19/18,820,AMZN,Put,68,0.25994,0.6,845.070007,0.919917864,0.257436172,0.002503828
3317,2/17/17,1/19/18,890,AMZN,Put,105.4,0.26131,,845.070007,0.919917864,0.252468304,0.008841696
3319,2/17/17,1/19/18,910,AMZN,Put,141.3,0.32234,,845.070007,0.919917864,0.324502568,-0.002162568
3323,2/17/17,6/15/18,820,AMZN,Call,109.21,0.23577,,845.070007,1.32238193,0.245605968,-0.009835968
3370,2/17/17,5/19/17,22.5,AMBC,Call,1.9,0.41483,0.15,22.5,0.249144422,0.421975527,-0.007145527
3371,2/17/17,5/19/17,22.5,AMBC,Put,1.85,0.42163,-0.59,22.5,0.249144422,0.417037654,0.004592346
3387,2/17/17,2/24/17,56.5,AMBA,Call,0.42,0.26367,-0.07,55.470001,0.019164956,0.269797779,-0.006127779
3403,2/17/17,2/24/17,54,AMBA,Put,0.4,0.31912,-0.1,55.470001,0.019164956,0.318686985,0.000433015
3407,2/17/17,2/24/17,56,AMBA,Put,1.43,0.37011,,55.470001,0.019164956,0.373228627,-0.003118627
3419,2/17/17,3/3/17,53,AMBA,Call,3.53,0.49297,-0.44,55.470001,0.038329911,0.485761266,0.007208734
3427,2/17/17,3/3/17,57,AMBA,Call,1.55,0.50617,0.09,55.470001,0.038329911,0.507458183,-0.001288183
3428,2/17/17,3/3/17,57.5,AMBA,Call,1.4,0.51389,0.15,55.470001,0.038329911,0.514390359,-0.000500359
3430,2/17/17,3/3/17,59,AMBA,Call,0.85,0.48182,-0.21,55.470001,0.038329911,0.485944298,-0.004124298
3432,2/17/17,3/3/17,61,AMBA,Call,0.53,0.50852,,55.470001,0.038329911,0.509496232,-0.000976232
3433,2/17/17,3/10/17,53,AMBA,Call,3.63,0.40866,,55.470001,0.057494867,0.417449678,-0.008789678
3438,2/17/17,3/10/17,56,AMBA,Call,2.1,0.44871,,55.470001,0.057494867,0.440670997,0.008039003
3442,2/17/17,3/10/17,58,AMBA,Call,1.4,0.45036,,55.470001,0.057494867,0.452655225,-0.002295225
3443,2/17/17,3/10/17,58.5,AMBA,Call,1.3,0.4587,,55.470001,0.057494867,0.463774559,-0.005074559
3445,2/17/17,3/10/17,59.5,AMBA,Call,1.04,0.46781,,55.470001,0.057494867,0.466393696,0.001416304
3456,2/17/17,3/24/17,52.5,AMBA,Call,4.64,0.43028,,55.470001,0.095824778,0.43547746,-0.00519746
3470,2/17/17,3/3/17,51,AMBA,Put,0.74,0.56037,,55.470001,0.038329911,0.559813708,0.000556292
3471,2/17/17,3/3/17,51.5,AMBA,Put,0.8,0.53807,-0.42,55.470001,0.038329911,0.539730435,-0.001660435
3472,2/17/17,3/3/17,52,AMBA,Put,1.05,0.57129,,55.470001,0.038329911,0.572188705,-0.000898705
3483,2/17/17,3/10/17,51,AMBA,Put,1.05,0.53072,,55.470001,0.057494867,0.535925191,-0.005205191
3486,2/17/17,3/10/17,53,AMBA,Put,1.7,0.52878,,55.470001,0.057494867,0.533845524,-0.005065524
3487,2/17/17,3/10/17,53.5,AMBA,Put,1.68,0.49055,-0.32,55.470001,0.057494867,0.48979624,0.00075376
3498,2/17/17,3/24/17,54,AMBA,Put,2.37,0.45791,,55.470001,0.095824778,0.453192172,0.004717828
3499,2/17/17,3/24/17,55,AMBA,Put,2.85,0.46087,,55.470001,0.095824778,0.45374967,0.00712033
3530,2/17/17,1/19/18,55,AMBA,Put,9.4,0.47215,,55.470001,0.919917864,0.466580107,0.005569893
3575,2/17/17,3/17/17,48,AMED,Call,1.93,0.35853,0.29,47.939999,0.076659822,0.36838807,-0.00985807
3582,2/17/17,3/17/17,48,AMED,Put,2.28,0.42992,,47.939999,0.076659822,0.426691989,0.003228011
3597,2/17/17,2/24/17,47,AAL,Call,0.54,0.21867,-0.13,46.91,0.019164956,0.224350969,-0.005680969
3598,2/17/17,2/24/17,47.5,AAL,Call,0.34,0.21872,-0.15,46.91,0.019164956,0.225123042,-0.006403042
3599,2/17/17,2/24/17,48,AAL,Call,0.2,0.21872,-0.11,46.91,0.019164956,0.225429496,-0.006709496
3603,2/17/17,2/24/17,50,AAL,Call,0.04,0.28587,,46.91,0.019164956,0.280910888,0.004959112
3607,2/17/17,2/24/17,42.5,AAL,Put,0.02,0.35438,,46.91,0.019164956,0.360658038,-0.006278038
3609,2/17/17,2/24/17,43.5,AAL,Put,0.03,0.30384,-0.01,46.91,0.019164956,0.309014133,-0.005174133
3611,2/17/17,2/24/17,44.5,AAL,Put,0.08,0.28004,,46.91,0.019164956,0.289361072,-0.009321072
3613,2/17/17,2/24/17,45.5,AAL,Put,0.17,0.24989,-0.03,46.91,0.019164956,0.252797676,-0.002907676
3614,2/17/17,2/24/17,46,AAL,Put,0.27,0.2474,-0.12,46.91,0.019164956,0.243017357,0.004382643
3616,2/17/17,2/24/17,47,AAL,Put,0.69,0.24997,-0.07,46.91,0.019164956,0.24926758,0.00070242
3617,2/17/17,2/24/17,47.5,AAL,Put,1.01,0.24997,-0.15,46.91,0.019164956,0.259864422,-0.009894422
3641,2/17/17,3/3/17,51,AAL,Call,0.17,0.33673,,46.91,0.038329911,0.343637055,-0.006907055
3650,2/17/17,3/10/17,46,AAL,Call,1.72,0.27685,,46.91,0.057494867,0.270676419,0.006173581
3657,2/17/17,3/10/17,49.5,AAL,Call,0.36,0.27438,-0.01,46.91,0.057494867,0.270555199,0.003824801
3659,2/17/17,3/10/17,50.5,AAL,Call,0.23,0.28153,-0.17,46.91,0.057494867,0.281266035,0.000263965
3661,2/17/17,3/10/17,51.5,AAL,Call,0.21,0.32292,,46.91,0.057494867,0.321801952,0.001118048
3662,2/17/17,3/17/17,43,AAL,Call,4.1,0.26346,-0.46,46.91,0.076659822,0.258942407,0.004517593
3668,2/17/17,3/17/17,49,AAL,Call,0.65,0.28086,-0.09,46.91,0.076659822,0.275312128,0.005547872
3671,2/17/17,3/24/17,44.5,AAL,Call,3.01,0.26104,,46.91,0.095824778,0.264031481,-0.002991481
3672,2/17/17,3/24/17,45,AAL,Call,2.78,0.29833,-0.52,46.91,0.095824778,0.288482764,0.009847236
3687,2/17/17,3/3/17,43,AAL,Put,0.13,0.34336,,46.91,0.038329911,0.337912373,0.005447627
3694,2/17/17,3/3/17,46.5,AAL,Put,0.85,0.27788,-0.09,46.91,0.038329911,0.286844632,-0.008964632
3715,2/17/17,3/10/17,49,AAL,Put,2.88,0.35241,1.12,46.91,0.057494867,0.357048456,-0.004638456
3723,2/17/17,3/17/17,48,AAL,Put,2.1,0.29426,-0.04,46.91,0.076659822,0.287039671,0.007220329
3728,2/17/17,3/24/17,43.5,AAL,Put,0.52,0.30889,-0.72,46.91,0.095824778,0.307908255,0.000981745
3729,2/17/17,3/24/17,44,AAL,Put,0.55,0.2902,,46.91,0.095824778,0.28675202,0.00344798
3738,2/17/17,3/24/17,48.5,AAL,Put,2.58,0.27645,,46.91,0.095824778,0.285655832,-0.009205832
3752,2/17/17,5/19/17,44,AAL,Put,1.84,0.35014,0.06,46.91,0.249144422,0.343168894,0.006971106
3757,2/17/17,5/19/17,49,AAL,Put,4.15,0.32092,,46.91,0.249144422,0.317668837,0.003251163
3758,2/17/17,5/19/17,50,AAL,Put,4.87,0.33187,0.07,46.91,0.249144422,0.32460311,0.00726689
3773,2/17/17,8/18/17,49,AAL,Put,5.4,0.33235,0.05,46.91,0.498288843,0.32290916,0.00944084
3774,2/17/17,8/18/17,50,AAL,Put,6,0.32959,0.05,46.91,0.498288843,0.320535173,0.009054827
3806,2/17/17,3/17/17,22.5,APEI,Put,1.1,0.74071,,24.4,0.076659822,0.736913734,0.003796266
3829,2/17/17,3/17/17,7,AMSC,Put,0.61,0.53225,0.03,6.62,0.076659822,0.522952085,0.009297915
3838,2/17/17,3/17/17,85,AMWD,Call,0.5,0.29502,,77.75,0.076659822,0.301499415,-0.006479415
3855,2/17/17,3/17/17,50,ABCB,Call,0.7,0.22079,,48.75,0.076659822,0.223372124,-0.002582124
3871,2/17/17,2/24/17,172.5,AMGN,Call,1.8,0.14608,0.48,173.289993,0.019164956,0.142313024,0.003766976
3875,2/17/17,2/24/17,157.5,AMGN,Put,0.05,0.32262,,173.289993,0.019164956,0.330293897,-0.007673897
3879,2/17/17,2/24/17,167.5,AMGN,Put,0.17,0.17311,-0.16,173.289993,0.019164956,0.180781853,-0.007671853
3891,2/17/17,3/3/17,177.5,AMGN,Call,0.62,0.15186,0.14,173.289993,0.038329911,0.15128816,0.00057184
3894,2/17/17,3/3/17,185,AMGN,Call,0.12,0.2027,,173.289993,0.038329911,0.194185776,0.008514224
3906,2/17/17,3/17/17,165,AMGN,Call,9.11,0.18275,0.55,173.289993,0.076659822,0.183747472,-0.000997472
3907,2/17/17,3/17/17,170,AMGN,Call,5.61,0.19028,0.56,173.289993,0.076659822,0.194822068,-0.004542068
3908,2/17/17,3/17/17,175,AMGN,Call,2.85,0.18829,0.38,173.289993,0.076659822,0.187844632,0.000445368
3911,2/17/17,3/17/17,190,AMGN,Call,0.13,0.18586,0.03,173.289993,0.076659822,0.183473046,0.002386954
3929,2/17/17,3/3/17,167.5,AMGN,Put,0.55,0.18711,-0.5,173.289993,0.038329911,0.182439263,0.004670737
3934,2/17/17,3/10/17,160,AMGN,Put,0.25,0.21872,-0.06,173.289993,0.057494867,0.220611032,-0.001891032
3935,2/17/17,3/10/17,162.5,AMGN,Put,0.39,0.21571,-0.08,173.289993,0.057494867,0.208695907,0.007014093
3936,2/17/17,3/10/17,165,AMGN,Put,0.65,0.1972,-0.19,173.289993,0.057494867,0.201056974,-0.003856974
3944,2/17/17,3/17/17,170,AMGN,Put,2.4,0.20924,-0.6,173.289993,0.076659822,0.202980641,0.006259359
3949,2/17/17,3/24/17,160,AMGN,Put,0.98,0.24997,-0.07,173.289993,0.095824778,0.248420784,0.001549216
3950,2/17/17,3/24/17,162.5,AMGN,Put,1.11,0.22263,-0.34,173.289993,0.095824778,0.224985395,-0.002355395
3957,2/17/17,4/21/17,170,AMGN,Call,7.46,0.18702,0.66,173.289993,0.1724846,0.196140938,-0.009120938
3959,2/17/17,4/21/17,180,AMGN,Call,2.74,0.18003,0.32,173.289993,0.1724846,0.184511243,-0.004481243
3961,2/17/17,4/21/17,190,AMGN,Call,0.69,0.1713,0.1,173.289993,0.1724846,0.177176975,-0.005876975
3965,2/17/17,4/21/17,175,AMGN,Put,6.61,0.2055,-0.54,173.289993,0.1724846,0.201062412,0.004437588
3966,2/17/17,4/21/17,180,AMGN,Put,9.4,0.18028,-0.9,173.289993,0.1724846,0.188547218,-0.008267218
3980,2/17/17,6/16/17,180,AMGN,Put,13.9,0.24997,,173.289993,0.325804244,0.258462093,-0.008492093
3990,2/17/17,7/21/17,160,AMGN,Put,4.9,0.24155,-0.25,173.289993,0.421629021,0.239514524,0.002035476
4020,2/17/17,1/18/19,175,AMGN,Put,29.65,0.31863,,173.289993,1.916495551,0.311960271,0.006669729
4036,2/17/17,6/16/17,11,AMKR,Call,0.59,0.40946,0.09,10.05,0.325804244,0.413314274,-0.003854274
4041,2/17/17,9/15/17,10,AMKR,Put,1.5,0.51176,,10.05,0.574948665,0.511420029,0.000339971
4054,2/17/17,3/17/17,27.5,AFSI,Put,0.95,0.28541,-0.1,27.34,0.076659822,0.288449228,-0.003039228
4055,2/17/17,3/17/17,30,AFSI,Put,2.8,0.29945,,27.34,0.076659822,0.295602764,0.003847236
4072,2/17/17,3/17/17,85,ADI,Call,0.5,0.15031,0.03,82.480003,0.076659822,0.152246497,-0.001936497
4073,2/17/17,3/17/17,87.5,ADI,Call,0.18,0.16853,,82.480003,0.076659822,0.16441934,0.00411066
4075,2/17/17,3/17/17,75,ADI,Put,0.25,0.26394,-0.03,82.480003,0.076659822,0.261731245,0.002208755
4077,2/17/17,3/17/17,80,ADI,Put,1.05,0.23045,-0.1,82.480003,0.076659822,0.230481655,-3.17E-05
4086,2/17/17,6/16/17,75,ADI,Put,2.3,0.29832,,82.480003,0.325804244,0.293510697,0.004809303
4095,2/17/17,9/15/17,75,ADI,Put,3.41,0.28456,,82.480003,0.574948665,0.276144001,0.008415999
4096,2/17/17,9/15/17,77.5,ADI,Put,4.3,0.26521,-1.7,82.480003,0.574948665,0.272747471,-0.007537471
4107,2/17/17,1/18/19,75,ADI,Call,9.2,0.08506,,82.480003,1.916495551,0.087129318,-0.002069318
4166,2/17/17,6/16/17,45,ANIK,Put,1.85,0.33321,,48.98,0.325804244,0.329035622,0.004174378
4170,2/17/17,3/17/17,100,ANSS,Call,2.4,0.19875,-0.45,100.269997,0.076659822,0.202808819,-0.004058819
4175,2/17/17,4/21/17,105,ANSS,Call,1.6,0.2003,-0.02,100.269997,0.1724846,0.202031229,-0.001731229
4217,2/17/17,2/24/17,136,AAPL,Call,0.87,0.13276,-0.11,135.720001,0.019164956,0.132989454,-0.000229454
4218,2/17/17,2/24/17,137,AAPL,Call,0.51,0.13192,-0.13,135.720001,0.019164956,0.135558499,-0.003638499
4219,2/17/17,2/24/17,138,AAPL,Call,0.3,0.147,-0.1,135.720001,0.019164956,0.142039175,0.004960825
4223,2/17/17,2/24/17,142,AAPL,Call,0.04,0.17922,-0.03,135.720001,0.019164956,0.174338214,0.004881786
4224,2/17/17,2/24/17,143,AAPL,Call,0.03,0.19488,-0.02,135.720001,0.019164956,0.187553419,0.007326581
4232,2/17/17,2/24/17,124,AAPL,Put,0.03,0.30884,-0.03,135.720001,0.019164956,0.302762788,0.006077212
4235,2/17/17,2/24/17,127,AAPL,Put,0.04,0.24997,-0.03,135.720001,0.019164956,0.243115016,0.006854984
4236,2/17/17,2/24/17,128,AAPL,Put,0.04,0.21872,-0.04,135.720001,0.019164956,0.218706774,1.32E-05
4237,2/17/17,2/24/17,129,AAPL,Put,0.06,0.20325,-0.05,135.720001,0.019164956,0.208593364,-0.005343364
4238,2/17/17,2/24/17,130,AAPL,Put,0.06,0.19177,-0.09,135.720001,0.019164956,0.182404875,0.009365125
4240,2/17/17,2/24/17,132,AAPL,Put,0.14,0.15239,-0.18,135.720001,0.019164956,0.157839312,-0.005449312
4242,2/17/17,2/24/17,134,AAPL,Put,0.43,0.13928,-0.32,135.720001,0.019164956,0.145413795,-0.006133795
4258,2/17/17,3/3/17,130,AAPL,Call,5.95,0.17202,0.27,135.720001,0.038329911,0.170813415,0.001206585
4260,2/17/17,3/3/17,132,AAPL,Call,4.15,0.15411,0.1,135.720001,0.038329911,0.156914292,-0.002804292
4261,2/17/17,3/3/17,133,AAPL,Call,3.35,0.156,0.09,135.720001,0.038329911,0.154453908,0.001546092
4262,2/17/17,3/3/17,134,AAPL,Call,2.61,0.15533,0.04,135.720001,0.038329911,0.150662591,0.004667409
4268,2/17/17,3/3/17,140,AAPL,Call,0.36,0.16326,-0.07,135.720001,0.038329911,0.158478014,0.004781986
4271,2/17/17,3/3/17,143,AAPL,Call,0.13,0.18024,-0.04,135.720001,0.038329911,0.173893552,0.006346448
4272,2/17/17,3/3/17,144,AAPL,Call,0.09,0.1829,-0.04,135.720001,0.038329911,0.177835655,0.005064345
4273,2/17/17,3/3/17,145,AAPL,Call,0.07,0.18436,-0.04,135.720001,0.038329911,0.185568453,-0.001208453
4281,2/17/17,3/10/17,129,AAPL,Call,6.99,0.16662,0.32,135.720001,0.057494867,0.163155525,0.003464475
4282,2/17/17,3/10/17,130,AAPL,Call,6.02,0.15468,0.4,135.720001,0.057494867,0.149593622,0.005086378
4283,2/17/17,3/10/17,131,AAPL,Call,5.09,0.14356,0.09,135.720001,0.057494867,0.140293283,0.003266717
4285,2/17/17,3/10/17,133,AAPL,Call,3.7,0.15989,0.1,135.720001,0.057494867,0.157957955,0.001932045
4286,2/17/17,3/10/17,134,AAPL,Call,2.87,0.15051,-0.04,135.720001,0.057494867,0.144208603,0.006301397
4289,2/17/17,3/10/17,137,AAPL,Call,1.36,0.14552,-0.02,135.720001,0.057494867,0.146975535,-0.001455535
4292,2/17/17,3/10/17,140,AAPL,Call,0.6,0.15085,-0.08,135.720001,0.057494867,0.156467026,-0.005617026
4294,2/17/17,3/10/17,142,AAPL,Call,0.3,0.16022,-0.14,135.720001,0.057494867,0.157490682,0.002729318
4296,2/17/17,3/10/17,144,AAPL,Call,0.25,0.18386,,135.720001,0.057494867,0.1821465,0.0017135
4297,2/17/17,3/10/17,145,AAPL,Call,0.14,0.17896,-0.03,135.720001,0.057494867,0.173196979,0.005763021
4298,2/17/17,3/10/17,146,AAPL,Call,0.09,0.18003,-0.06,135.720001,0.057494867,0.171715807,0.008314193
4303,2/17/17,3/17/17,145,AAPL,Call,0.23,0.16779,-0.05,135.720001,0.076659822,0.167635794,0.000154206
4310,2/17/17,3/24/17,129,AAPL,Call,7.2,0.14298,0.06,135.720001,0.095824778,0.150008854,-0.007028854
4314,2/17/17,3/24/17,133,AAPL,Call,4.14,0.15238,-0.04,135.720001,0.095824778,0.151086309,0.001293691
4319,2/17/17,3/24/17,138,AAPL,Call,1.61,0.14627,-0.05,135.720001,0.095824778,0.1519017,-0.0056317
4321,2/17/17,3/24/17,140,AAPL,Call,1.08,0.15468,-0.04,135.720001,0.095824778,0.157200221,-0.002520221
4326,2/17/17,3/24/17,145,AAPL,Call,0.32,0.17028,-0.04,135.720001,0.095824778,0.162835154,0.007444846
4329,2/17/17,3/3/17,124,AAPL,Put,0.08,0.24997,-0.03,135.720001,0.038329911,0.249998142,-2.81E-05
4331,2/17/17,3/3/17,126,AAPL,Put,0.1,0.21872,-0.04,135.720001,0.038329911,0.221839607,-0.003119607
4334,2/17/17,3/3/17,129,AAPL,Put,0.2,0.18299,-0.09,135.720001,0.038329911,0.191823116,-0.008833116
4335,2/17/17,3/3/17,130,AAPL,Put,0.26,0.18941,-0.11,135.720001,0.038329911,0.182395142,0.007014858
4339,2/17/17,3/3/17,134,AAPL,Put,0.96,0.15545,-0.31,135.720001,0.038329911,0.160607327,-0.005157327
4348,2/17/17,3/10/17,124,AAPL,Put,0.13,0.21872,-0.03,135.720001,0.057494867,0.223488036,-0.004768036
4349,2/17/17,3/10/17,125,AAPL,Put,0.14,0.21659,-0.05,135.720001,0.057494867,0.210411633,0.006178367
4356,2/17/17,3/10/17,132,AAPL,Put,0.77,0.16095,-0.22,135.720001,0.057494867,0.167598536,-0.006648536
4358,2/17/17,3/10/17,134,AAPL,Put,1.35,0.15711,-0.21,135.720001,0.057494867,0.163897928,-0.006787928
4360,2/17/17,3/10/17,136,AAPL,Put,2.23,0.16354,-0.27,135.720001,0.057494867,0.162185268,0.001354732
4362,2/17/17,3/10/17,138,AAPL,Put,3.5,0.16145,0.13,135.720001,0.057494867,0.168144424,-0.006694424
4382,2/17/17,3/24/17,135,AAPL,Put,2.33,0.16118,-0.28,135.720001,0.095824778,0.16182871,-0.00064871
4387,2/17/17,3/24/17,140,AAPL,Put,5.76,0.19229,,135.720001,0.095824778,0.189530398,0.002759602
4395,2/17/17,4/21/17,130,AAPL,Put,1.52,0.17011,-0.2,135.720001,0.1724846,0.169746335,0.000363665
4402,2/17/17,5/19/17,140,AAPL,Call,3.35,0.1922,0.05,135.720001,0.249144422,0.187592522,0.004607478
4403,2/17/17,5/19/17,145,AAPL,Call,1.86,0.19369,,135.720001,0.249144422,0.18591874,0.00777126
4404,2/17/17,5/19/17,125,AAPL,Put,1.7,0.21872,-0.14,135.720001,0.249144422,0.212751704,0.005968296
4413,2/17/17,6/16/17,145,AAPL,Call,2.36,0.17693,-0.01,135.720001,0.325804244,0.181557907,-0.004627907
4423,2/17/17,7/21/17,145,AAPL,Call,3.2,0.19166,0.05,135.720001,0.421629021,0.186323472,0.005336528
4426,2/17/17,7/21/17,135,AAPL,Put,6.56,0.20447,-0.24,135.720001,0.421629021,0.201436742,0.003033258
4435,2/17/17,10/20/17,130,AAPL,Put,7.15,0.23299,-0.15,135.720001,0.670773443,0.229395357,0.003594643
4444,2/17/17,11/17/17,125,AAPL,Put,6.2,0.24973,-0.1,135.720001,0.747433265,0.243270648,0.006459352
4464,2/17/17,6/15/18,125,AAPL,Put,10.29,0.26568,,135.720001,1.32238193,0.259067708,0.006612292
4466,2/17/17,6/15/18,135,AAPL,Put,14.52,0.25589,-0.03,135.720001,1.32238193,0.248223125,0.007666875
4490,2/17/17,2/24/17,35,AMAT,Call,0.79,0.17748,0.35,35.669998,0.019164956,0.182798378,-0.005318378
4491,2/17/17,2/24/17,35.5,AMAT,Call,0.45,0.17647,0.21,35.669998,0.019164956,0.181466984,-0.004996984
4492,2/17/17,2/24/17,36,AMAT,Call,0.22,0.1847,0.09,35.669998,0.019164956,0.181891665,0.002808335
4496,2/17/17,2/24/17,38,AMAT,Call,0.02,0.26044,,35.669998,0.019164956,0.257319916,0.003120084
4504,2/17/17,2/24/17,35,AMAT,Put,0.14,0.19022,-0.29,35.669998,0.019164956,0.198340031,-0.008120031
4506,2/17/17,2/24/17,36,AMAT,Put,0.56,0.18615,-0.47,35.669998,0.019164956,0.189129112,-0.002979112
4516,2/17/17,3/3/17,35,AMAT,Call,0.95,0.20347,0.33,35.669998,0.038329911,0.197970146,0.005499854
4518,2/17/17,3/3/17,36,AMAT,Call,0.4,0.19141,0.08,35.669998,0.038329911,0.195258481,-0.003848481
4527,2/17/17,3/10/17,34.5,AMAT,Call,1.43,0.19596,0.28,35.669998,0.057494867,0.203937017,-0.007977017
4533,2/17/17,3/10/17,37.5,AMAT,Call,0.14,0.1984,,35.669998,0.057494867,0.201946455,-0.003546455
4534,2/17/17,3/10/17,38,AMAT,Call,0.07,0.20087,-0.02,35.669998,0.057494867,0.194424507,0.006445493
4548,2/17/17,3/24/17,37,AMAT,Call,0.37,0.20114,,35.669998,0.095824778,0.194840388,0.006299612
4550,2/17/17,3/24/17,38,AMAT,Call,0.18,0.19891,,35.669998,0.095824778,0.198266984,0.000643016
4551,2/17/17,3/24/17,38.5,AMAT,Call,0.14,0.20958,,35.669998,0.095824778,0.208067794,0.001512206
4557,2/17/17,3/3/17,35,AMAT,Put,0.3,0.21872,-0.32,35.669998,0.038329911,0.208837509,0.009882491
4558,2/17/17,3/3/17,35.5,AMAT,Put,0.45,0.19965,-0.38,35.669998,0.038329911,0.192069039,0.007580961
4559,2/17/17,3/3/17,36,AMAT,Put,0.72,0.20064,,35.669998,0.038329911,0.194117935,0.006522065
4571,2/17/17,3/17/17,35,AMAT,Put,0.54,0.21872,-0.31,35.669998,0.076659822,0.21471545,0.00400455
4582,2/17/17,3/24/17,36,AMAT,Put,1.1,0.21156,-0.4,35.669998,0.095824778,0.211438699,0.000121301
4590,2/17/17,4/21/17,37,AMAT,Call,0.81,0.22337,0.22,35.669998,0.1724846,0.226404028,-0.003034028
4591,2/17/17,4/21/17,38,AMAT,Call,0.47,0.21512,0.09,35.669998,0.1724846,0.21498995,0.00013005
4593,2/17/17,4/21/17,33,AMAT,Put,0.44,0.2488,-0.17,35.669998,0.1724846,0.245147191,0.003652809
4595,2/17/17,4/21/17,35,AMAT,Put,1,0.21872,-0.31,35.669998,0.1724846,0.225765576,-0.007045576
4596,2/17/17,4/21/17,36,AMAT,Put,1.47,0.21872,-0.43,35.669998,0.1724846,0.221673507,-0.002953507
4605,2/17/17,7/21/17,38,AMAT,Call,1.37,0.24997,0.24,35.669998,0.421629021,0.24412663,0.00584337
4607,2/17/17,7/21/17,33,AMAT,Put,1.34,0.28539,-0.14,35.669998,0.421629021,0.278741818,0.006648182
4609,2/17/17,7/21/17,35,AMAT,Put,1.96,0.24829,-0.3,35.669998,0.421629021,0.253235799,-0.004945799
4662,2/17/17,3/17/17,85,ACGL,Put,0.3,0.2741,,94.019997,0.076659822,0.277272661,-0.003172661
4667,2/17/17,6/16/17,100,ACGL,Call,0.7,0.11668,,94.019997,0.325804244,0.120301681,-0.003621681
4682,2/17/17,8/18/17,17,APLP,Call,2.78,0.46285,,17.9,0.498288843,0.466313709,-0.003463709
4692,2/17/17,6/16/17,20,ACAT,Call,0.05,0.10189,,18.549999,0.325804244,0.099436097,0.002453903
4709,2/17/17,3/17/17,17,ARCC,Put,0.15,0.21335,,17.66,0.076659822,0.20774679,0.00560321
4710,2/17/17,3/17/17,18,ARCC,Put,0.74,0.27933,-0.01,17.66,0.076659822,0.283306335,-0.003976335
4724,2/17/17,6/16/17,12,ARRY,Put,2.3,0.74497,,11.37,0.325804244,0.75054794,-0.00557794
